rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)
superkingdom	9	3.0484845089114097	5057.479501806953	0.005740653650192669	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.019667171823742544	0.028373731258424517	0.002870326825096334	0.5	0.6666666666666666	1.0	1.0
superkingdom	34	3.0484845089114097	5057.479501806953	0.006778264256826778	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.022657991722835683	0.03268857229503822	0.003389132128413389	0.5	0.6666666666666666	1.0	1.0
superkingdom	33	3.0484845089114097	5057.479501806953	0.0068006201385751135	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.022721506276561977	0.03278020442672342	0.0034003100692875567	0.5	0.6666666666666666	1.0	1.0
superkingdom	32	3.0484845089114097	5057.479501806953	0.0033044182812352013	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.012234303776936788	0.01765036938771582	0.0016522091406176006	0.5	0.6666666666666666	1.0	1.0
superkingdom	31	3.0484845089114097	5057.479501806953	0.006523294592639211	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.021930958637332094	0.03163968526801999	0.0032616472963196055	0.5	0.6666666666666666	1.0	1.0
superkingdom	30	3.0484845089114097	5057.479501806953	0.004913505014156896	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.017216149011366907	0.024837652801904468	0.002456752507078448	0.5	0.6666666666666666	1.0	1.0
superkingdom	3	3.0484845089114097	5057.479501806953	0.0058193849122756165	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.019897209178724003	0.028705605009675485	0.0029096924561378083	0.5	0.6666666666666666	1.0	1.0
superkingdom	29	3.0484845089114097	5057.479501806953	0.0037313486650238687	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.013588077994470362	0.019603452737834846	0.0018656743325119343	0.5	0.6666666666666666	1.0	1.0
superkingdom	28	3.0484845089114097	5057.479501806953	0.007728289957090875	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.02532591639172762	0.03653757398431395	0.0038641449785454377	0.5	0.6666666666666666	1.0	1.0
superkingdom	27	3.0484845089114097	5057.479501806953	0.006136231716849611	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.02081764473609681	0.030033512823755104	0.0030681158584248054	0.5	0.6666666666666666	1.0	1.0
superkingdom	26	3.0484845089114097	5057.479501806953	0.004733963520103116	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.0166752805266209	0.024057344521188274	0.0023669817600515584	0.5	0.6666666666666666	1.0	1.0
superkingdom	25	3.0484845089114097	5057.479501806953	0.006182382839174572	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.020951018158511116	0.03022592999885861	0.003091191419587286	0.5	0.6666666666666666	1.0	1.0
superkingdom	24	3.0484845089114097	5057.479501806953	0.006372699975568881	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.021499209412288594	0.03101680280214208	0.003186349987784441	0.5	0.6666666666666666	1.0	1.0
superkingdom	23	3.0484845089114097	5057.479501806953	0.0031269563881096206	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.011663641419667787	0.016827077634861826	0.0015634781940548103	0.5	0.6666666666666666	1.0	1.0
superkingdom	22	3.0484845089114097	5057.479501806953	0.008205979941275905	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.026644755338474508	0.03844025639251691	0.004102989970637952	0.5	0.6666666666666666	1.0	1.0
superkingdom	21	3.0484845089114097	5057.479501806953	0.002925818115652189	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.011010726207375126	0.015885120095966238	0.0014629090578260945	0.5	0.6666666666666666	1.0	1.0
superkingdom	20	3.0484845089114097	5057.479501806953	0.004912490422431705	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.017213101909014674	0.02483325676245182	0.0024562452112158527	0.5	0.6666666666666666	1.0	1.0
superkingdom	2	3.0484845089114097	5057.479501806953	0.0024790840900428416	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.009535044871187	0.01375616195031523	0.0012395420450214206	0.5	0.6666666666666666	1.0	1.0
superkingdom	19	3.0484845089114097	5057.479501806953	0.005558412054137191	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.01913260763501002	0.027602518154303275	0.002779206027068595	0.5	0.6666666666666666	1.0	1.0
superkingdom	18	3.0484845089114097	5057.479501806953	0.0042787252925279694	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.015288263876826302	0.022056302478899184	0.0021393626462639847	0.5	0.6666666666666666	1.0	1.0
superkingdom	17	3.0484845089114097	5057.479501806953	0.005782742517224604	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.019790214153280698	0.02855124381706864	0.002891371258612302	0.5	0.6666666666666666	1.0	1.0
superkingdom	16	3.0484845089114097	5057.479501806953	0.005281870055410016	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.01831567832418	0.02642393828881197	0.002640935027705008	0.5	0.6666666666666666	1.0	1.0
superkingdom	15	3.0484845089114097	5057.479501806953	0.007210548385441201	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.5	0.023879723414376337	0.03445115854772081	0.0036052741927206002	0.5	0.6666666666666666	1.0	1.0
