rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	26	2.6317997622950666	3948.090207709281	0.0032104017015131448	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.013411434517105296	0.00967430503451744	0.0016052008507565726
superkingdom	25	2.6317997622950666	3948.090207709281	0.005857370020732559	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.021657848629725848	0.015622835407214658	0.0029286850103662793
superkingdom	24	2.6317997622950666	3948.090207709281	0.005599363525585203	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.020557810997544865	0.014829325988845286	0.0027996817627926017
superkingdom	23	2.6317997622950666	3948.090207709281	0.0032906617440510095	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.013494042147967783	0.009733893844209888	0.0016453308720255047
superkingdom	22	2.6317997622950666	3948.090207709281	0.004387421383648065	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.016468822507064107	0.011879744280110967	0.0021937106918240327
superkingdom	21	2.6317997622950666	3948.090207709281	0.0037127346799523024	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.015048403718032224	0.010855128708650064	0.0018563673399761512
superkingdom	20	2.6317997622950666	3948.090207709281	0.005583889370452117	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.02137653108907333	0.015419907696807423	0.0027919446852260584
superkingdom	2	2.6317997622950666	3948.090207709281	0.0058234685783709605	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.022228818787390067	0.016034703314693536	0.0029117342891854803
superkingdom	19	2.6317997622950666	3948.090207709281	0.009222941814386572	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.032299159683376134	0.023298918750043748	0.004611470907193287
superkingdom	18	2.6317997622950666	3948.090207709281	0.002915774339175128	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.012090325882993793	0.008721326597063312	0.001457887169587564
superkingdom	17	2.6317997622950666	3948.090207709281	0.00753781504136766	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.02731012832303272	0.019700093348840264	0.00376890752068383
superkingdom	16	2.6317997622950666	3948.090207709281	0.0016873568759793612	1.0	0.3333333333333333	0.5	1.0	2.0	0.0	3.0	0.3333333333333333	0.00725301664503655	0.006601980261689648	0.0008436784379896807
superkingdom	15	2.6317997622950666	3948.090207709281	0.006348695182122712	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.023033976386010097	0.016615501752025127	0.003174347591061356
superkingdom	14	2.6317997622950666	3948.090207709281	0.008077162681790354	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.027938408712999237	0.020153301850286503	0.004038581340895177
superkingdom	13	2.6317997622950666	3948.090207709281	0.004304189545244243	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.016934373223056638	0.012215568134733332	0.002152094772622121
superkingdom	12	2.6317997622950666	3948.090207709281	0.0045012276075296455	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.01744624913586143	0.012584808555210325	0.0022506138037648228
superkingdom	11	2.6317997622950666	3948.090207709281	0.012240244374651637	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.04045719335205215	0.029183696108645785	0.0061201221873258185
superkingdom	10	2.6317997622950666	3948.090207709281	0.004118492029211333	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.016330826971566445	0.01178020154274732	0.0020592460146056663
superkingdom	1	2.6317997622950666	3948.090207709281	0.006050737747758918	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.022542566039415853	0.016261024116988605	0.0030253688738794584
superkingdom	0	2.6317997622950666	3948.090207709281	0.002247529222896703	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.009559926939380358	0.006896029593352424	0.0011237646114483516
superkingdom	35	2.6317997622950666	3948.090207709281	0.004801558999909731	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.018924648136192365	0.013651248008326644	0.0024007794999548653
superkingdom	36	2.6317997622950666	3948.090207709281	0.008171706220134725	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.02853194425384627	0.020581447240972186	0.004085853110067362
superkingdom	8	2.6317997622950666	3948.090207709281	0.005439600290112414	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.02013823347875849	0.014526664786034486	0.002719800145056207
superkingdom	38	2.6317997622950666	3948.090207709281	0.004738908243893417	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.01821932045357739	0.013142461633371481	0.0023694541219467084
superkingdom	37	2.6317997622950666	3948.090207709281	0.009737255059751896	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.033180070583941706	0.023934361643899237	0.004868627529875948
superkingdom	7	2.6317997622950666	3948.090207709281	0.005268184788619382	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.020445870885211437	0.01474857826637529	0.0026340923943096914
superkingdom	63	2.6317997622950666	3948.090207709281	0.005739283994221087	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.022237136352078374	0.016040703169357583	0.002869641997110544
superkingdom	62	2.6317997622950666	3948.090207709281	0.005559011820426165	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.021664217110712224	0.015627429295183178	0.0027795059102130822
superkingdom	61	2.6317997622950666	3948.090207709281	0.007617972772801584	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.027030916432126014	0.019498684543656098	0.003808986386400792
superkingdom	60	2.6317997622950666	3948.090207709281	0.004934044909878602	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.018475608129079397	0.013327334112615333	0.002467022454939301
superkingdom	6	2.6317997622950666	3948.090207709281	0.018194939977028354	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.057310440763954126	0.04134074434065866	0.009097469988514177
superkingdom	59	2.6317997622950666	3948.090207709281	0.004974723570522587	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.018683450554075803	0.013477260730529659	0.002487361785261294
superkingdom	57	2.6317997622950666	3948.090207709281	0.005293934117694835	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.019876614425289898	0.014337946530513885	0.0026469670588474175
superkingdom	56	2.6317997622950666	3948.090207709281	0.024539751527329533	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.07463196317819909	0.05383558158449778	0.012269875763664766
superkingdom	55	2.6317997622950666	3948.090207709281	0.024124712496806703	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.07381137257390788	0.05324365058679227	0.01206235624840335
superkingdom	54	2.6317997622950666	3948.090207709281	0.008003971590966963	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.028846296368860293	0.02080820435968403	0.004001985795483482
superkingdom	53	2.6317997622950666	3948.090207709281	0.010077967373341554	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.03526434558692548	0.025437848249226	0.005038983686670777
superkingdom	52	2.6317997622950666	3948.090207709281	0.005535482442456504	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.020338846507723173	0.014671376497047018	0.0027677412212282525
superkingdom	58	2.6317997622950666	3948.090207709281	0.0051552100848800955	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.01928635543313928	0.013912164670105977	0.0025776050424400477
superkingdom	50	2.6317997622950666	3948.090207709281	0.008412515886945759	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.029246236129328078	0.021096699914224627	0.004206257943472879
superkingdom	51	2.6317997622950666	3948.090207709281	0.011861010703102876	1.0	0.25	0.4	1.0	3.0	0.0	4.0	0.25	0.03964385995538792	0.028597000079667357	0.005930505351551439
