rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	5.201716220998154	1274.7882232308748	0.03677700737610908	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.09169939442015211	0.13229426158247454	0.01838850368805454
superkingdom	34	5.201716220998154	1274.7882232308748	0.06809461999999998	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.14854106050196542	0.21429945135457298	0.03404730999999999
superkingdom	33	5.201716220998154	1274.7882232308748	0.06566251999999996	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.14445018591149197	0.20839756686999827	0.03283125999999997
superkingdom	32	5.201716220998154	1274.7882232308748	0.059956119999999974	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.13466589430170484	0.1942818178859469	0.029978059999999987
superkingdom	31	5.201716220998154	1274.7882232308748	0.08009652885096957	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.16809750435669624	0.2425134359212166	0.040048264425484786
superkingdom	30	5.201716220998154	1274.7882232308748	0.040281789439673164	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.09858694495983225	0.14223089658994317	0.020140894719836582
superkingdom	3	5.201716220998154	1274.7882232308748	0.0575275882441764	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.13041837982550333	0.1881539498150269	0.0287637941220882
superkingdom	29	5.201716220998154	1274.7882232308748	0.07453573107533946	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.15916188618824836	0.2296220639023195	0.03726786553766973
superkingdom	28	5.201716220998154	1274.7882232308748	0.08123392677536632	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.16989995852525142	0.2451138276116208	0.04061696338768316
superkingdom	27	5.201716220998154	1274.7882232308748	0.08875687999999998	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.181617725859971	0.2620189924357114	0.044378439999999984
superkingdom	26	5.201716220998154	1274.7882232308748	0.05565954000000002	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.12711534577054337	0.18338867896404878	0.027829770000000014
superkingdom	25	5.201716220998154	1274.7882232308748	0.10436051999999994	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.20488552301020185	0.29558732799675985	0.05218025999999997
superkingdom	24	5.201716220998154	1274.7882232308748	0.04361003071082528	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.10498313880418239	0.15145865372975165	0.021805015355412644
superkingdom	23	5.201716220998154	1274.7882232308748	0.0908008120931231	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.18474253673546862	0.26652714158950774	0.04540040604656155
superkingdom	22	5.201716220998154	1274.7882232308748	0.07714475999999997	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.16338024869122553	0.23570787456603662	0.03857237999999998
superkingdom	21	5.201716220998154	1274.7882232308748	0.08674756000000002	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.17852182656986504	0.25755255388278386	0.04337378000000001
superkingdom	20	5.201716220998154	1274.7882232308748	0.08590261999999997	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.17721273381786531	0.2556639322614102	0.042951309999999986
superkingdom	2	5.201716220998154	1274.7882232308748	0.07091607811835422	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.1532306009748417	0.2210650281388397	0.03545803905917711
superkingdom	19	5.201716220998154	1274.7882232308748	0.08914253999999999	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.18220920062485246	0.26287231014581686	0.044571269999999996
superkingdom	18	5.201716220998154	1274.7882232308748	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	17	5.201716220998154	1274.7882232308748	0.11866186	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.22512257031131333	0.3247832157803087	0.05933092999999999
superkingdom	16	5.201716220998154	1274.7882232308748	0.05669784509466088	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.1289551641147724	0.18604297576540454	0.028348922547330443
superkingdom	15	5.201716220998154	1274.7882232308748	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	14	5.201716220998154	1274.7882232308748	0.06709350281727824	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.14686268248723428	0.2118780637159833	0.03354675140863912
superkingdom	13	5.201716220998154	1274.7882232308748	0.07038332405128817	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.1523496369634616	0.21979406572841997	0.03519166202564408
superkingdom	12	5.201716220998154	1274.7882232308748	0.05088930576594572	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.11853182989110063	0.17100528317138508	0.02544465288297286
superkingdom	11	5.201716220998154	1274.7882232308748	0.08217041999999995	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.17137780026665494	0.24724590256316237	0.041085209999999976
