tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)
sourmash	1	8.85254744979094	521.0083414435152	0.8593659032337554	0.9375	0.8461538461538461	0.8894878706199459	11.0	2.0	1.0	19.0	0.75	2.253193199222882	0.7652368465318825	0.4296829516168777	0.7894736842105263	0.8571428571428572	15.0	4.0
Metalign	1	8.56883965006313	1054.0698170670935	0.7203809605581393	0.9375	0.8461538461538461	0.8894878706199459	11.0	2.0	1.0	23.0	0.625	2.246878553647855	0.7165947053045452	0.3601904802790695	0.6521739130434783	0.7692307692307693	15.0	8.0
Quikr	1	9.890727222205918	8954.270681023794	1.426605560804439	0.8125	0.08904109589041095	0.16049382716049382	13.0	133.0	3.0	184.0	0.06951871657754011	4.332105538579754	0.8307111995116879	0.7133027804022191	0.07065217391304347	0.13	13.0	171.0
MetaPhyler	1	10.905558150053686	12063.829811168427	0.9312586697452996	0.8125	0.11403508771929824	0.19999999999999998	13.0	101.0	3.0	201.0	0.06372549019607843	3.4641645852742786	0.6532086397691411	0.4656293348726503	0.06467661691542288	0.11981566820276496	13.0	188.0
MP2.0	1	12.850184554915034	773.2005681814431	1.559748717122673	0.375	1.0	0.5454545454545454	5.0	0.0	10.0	7.0	0.35294117647058826	1.2973066735339376	0.6666837490743058	0.7798743585613364	0.8571428571428571	0.5217391304347825	6.0	1.0
TIPP	1	11.443238652415285	6160.687593276241	1.0465573575342766	0.8125	0.1111111111111111	0.19548872180451127	13.0	104.0	3.0	178.0	0.0718232044198895	2.9515516393925068	0.5696014915995739	0.5232786787671373	0.07303370786516854	0.13402061855670103	13.0	165.0
CLARK	1	10.190240322419516	9760.420685041063	1.5731033910306151	0.8125	0.14942528735632185	0.2524271844660194	13.0	74.0	3.0	352.0	0.036619718309859155	2.2053651452146275	0.3761091172296794	0.7865516955153075	0.036931818181818184	0.07065217391304349	13.0	339.0
FOCUS	1	11.773862323402478	1641.516853015765	1.523286417037648	0.6875	0.21568627450980393	0.3283582089552239	11.0	40.0	5.0	62.0	0.16417910447761194	3.5734421266804643	0.8658409911799909	0.7616432085188239	0.1774193548387097	0.28205128205128205	11.0	51.0
mOTU	1	13.154049107271465	2469.019410213787	1.6595857980643371	0.625	0.3684210526315789	0.46357615894039733	7.0	12.0	6.0	50.0	0.17857142857142858	1.4102348896651922	0.36048737129316827	0.8297928990321681	0.2	0.30303030303030304	10.0	40.0
