tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
sourmash	1	8.85254744979094	521.0083414435152	1.546283334375224	0.8260869565217391	0.48717948717948717	0.6129032258064516	19.0	20.0	4.0	39.0	0.4418604651162791	2.481533285805507	0.6773554058868129	0.7731416671876121
Metalign	1	8.5877520448341	1056.0698170670937	1.5790727638903272	0.782608695652174	0.16666666666666666	0.2748091603053435	18.0	90.0	5.0	108.0	0.1592920353982301	2.5491249913061833	0.5444368958603204	0.7895363819451641
Quikr	1	9.890727222205925	8954.270681023798	1.8158679172496432	0.34782608695652173	0.01045751633986928	0.02030456852791878	8.0	757.0	15.0	765.0	0.010256410256410256	5.557074632696008	0.8369244804828656	0.9079339586248221
MetaPhyler	1	10.905558150053684	12063.829811168427	1.934630946460011	0.17391304347826086	0.0034334763948497852	0.006734006734006734	4.0	1161.0	19.0	1165.0	0.0033783783783783786	4.706150475883652	0.6665485771677441	0.9673154732300082
MP2.0	1	12.85018455491503	773.2005681814431	1.9340932614627717	0.21739130434782608	1.0	0.3571428571428571	5.0	0.0	18.0	5.0	0.21739130434782608	1.1061915489696617	0.6873154536894603	0.9670466307313859
TIPP	1	11.4432386524153	6160.687593276243	1.934630946460018	0.17391304347826086	0.008368200836820083	0.015968063872255488	4.0	474.0	19.0	478.0	0.008048289738430584	3.6336609784399925	0.5238583381510298	0.9673154732300082
CLARK	1	10.19024032241951	9760.420685041057	na	0.0	0.0	na	0.0	0.0	23.0	0.0	0.0	na	na	na
FOCUS	1	11.77386232340248	1641.516853015765	1.936837695302873	0.13043478260869565	0.03125	0.05042016806722689	3.0	93.0	20.0	96.0	0.02586206896551724	4.056545587792119	0.8887458663594167	0.9684188476514367
mOTU	1	13.154049107271462	2469.019410213786	1.9346309464600155	0.17391304347826086	0.025	0.04371584699453552	4.0	156.0	19.0	160.0	0.0223463687150838	1.5639045088449588	0.30814797005586014	0.9673154732300082
