tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)
sourmash	0	2.134551265236159	391.9944058835148	0.041992938666621474	0.8928571428571429	1.0	0.9433962264150945	10.0	0.0	3.0	25.0	0.8928571428571429	0.4416385199711619	0.13720272045264284	0.02099646933331073	1.0	0.9433962264150945	25.0	0.0
sourmash	4	2.0366079037696503	345.6244857825209	0.17890411343966545	1.0	1.0	1.0	23.0	0.0	0.0	28.0	1.0	2.0240080828301035	0.607408121755313	0.0894520567198327	1.0	1.0	28.0	0.0
sourmash	40	1.4480706087413187	1485.8673744686675	0.25609972791129	0.9459459459459459	0.9302325581395349	0.9380234505862647	40.0	3.0	4.0	74.0	0.8974358974358975	2.5086906869508794	0.582865415049585	0.12804986395564494	0.9459459459459459	0.9459459459459459	70.0	4.0
sourmash	41	1.2318404097482507	768.3212999134789	0.11444058237583825	0.967741935483871	0.975609756097561	0.97165991902834	40.0	1.0	2.0	62.0	0.9375	1.4934585764824833	0.36186332625710377	0.057220291187919145	0.967741935483871	0.967741935483871	60.0	2.0
sourmash	42	1.14457509731439	1251.2359313777586	0.27371290363544676	0.9571428571428572	0.9591836734693877	0.958162178609463	47.0	2.0	3.0	71.0	0.9054054054054054	2.7368530147955195	0.6420498591827501	0.13685645181772332	0.9436619718309859	0.9503546099290779	67.0	4.0
sourmash	43	1.3428776648357175	1405.990273862255	0.21306085584200699	0.9272727272727272	0.9655172413793104	0.9460086121232196	28.0	1.0	4.0	54.0	0.8793103448275862	2.354957449531632	0.5903652213299687	0.10653042792100348	0.9444444444444444	0.9357798165137615	51.0	3.0
sourmash	44	1.3499828978208683	1270.9713441744734	0.22416012889822456	0.9152542372881356	0.9666666666666667	0.9402581807265087	29.0	1.0	5.0	57.0	0.8709677419354839	2.5405619795983125	0.628377384133205	0.11208006444911227	0.9473684210526315	0.9310344827586206	54.0	3.0
sourmash	45	1.2160672844132367	1421.890521950688	0.22260796611088268	0.8714285714285714	0.9259259259259259	0.8978510450397409	25.0	2.0	9.0	64.0	0.8356164383561644	0.9682367588845999	0.23281172840820258	0.1113039830554414	0.953125	0.9104477611940298	61.0	3.0
sourmash	46	2.716263507659953	1067.1936351381614	0.26447142474667495	0.9454545454545454	1.0	0.9719626168224299	30.0	0.0	3.0	53.0	0.9285714285714286	2.1376352846152193	0.5384075859305595	0.13223571237333748	0.9811320754716981	0.9629629629629629	52.0	1.0
sourmash	47	1.2837871556001386	932.1146077364867	0.24278570079779097	0.953125	0.9512195121951219	0.9521713027816691	39.0	2.0	3.0	64.0	0.9104477611940298	2.954197813617301	0.7103344225851164	0.12139285039889548	0.953125	0.953125	61.0	3.0
sourmash	48	1.540097200916613	1505.8722747151278	0.31734377870769764	0.9230769230769231	0.94	0.9314616019818331	47.0	3.0	6.0	76.0	0.8780487804878049	2.709155093959544	0.6255649750488737	0.15867188935384882	0.9473684210526315	0.935064935064935	72.0	4.0
sourmash	49	1.8683939588101948	525.7567106128563	0.32243487399567833	0.9142857142857143	0.9411764705882353	0.9275362318840579	16.0	1.0	3.0	33.0	0.8888888888888888	1.9392535414843575	0.5546258680679099	0.16121743699783916	0.9696969696969697	0.9411764705882354	32.0	1.0
sourmash	5	1.9044491379847635	1466.781495123328	0.31244172588575414	0.9436619718309859	0.9714285714285714	0.9573439798276948	34.0	1.0	4.0	71.0	0.8933333333333333	1.7290995963685722	0.4056367464236426	0.15622086294287704	0.9436619718309859	0.9436619718309859	67.0	4.0
sourmash	50	2.1188537226039283	590.5972248749542	0.2983628286077593	0.8787878787878788	1.0	0.9354838709677419	13.0	0.0	4.0	29.0	0.8787878787878788	1.6729216951155743	0.4968145893858973	0.1491814143038796	1.0	0.9354838709677419	29.0	0.0
sourmash	52	3.5871851245614135	723.4151038322253	0.5883132162481131	0.9130434782608695	1.0	0.9545454545454545	11.0	0.0	2.0	21.0	0.9130434782608695	1.6140649385408379	0.5301537339786445	0.2941566081240564	1.0	0.9545454545454545	21.0	0.0
sourmash	53	2.0077005987956165	1058.7572791497914	0.3403812381763569	0.921875	0.9714285714285714	0.9460033011082292	34.0	1.0	5.0	62.0	0.8805970149253731	1.690211572168557	0.4095363548841869	0.1701906190881785	0.9516129032258065	0.9365079365079365	59.0	3.0
sourmash	54	2.181449974194914	1155.9483214627764	0.35551989267522915	0.9122807017543859	0.9615384615384616	0.9362621534029528	25.0	1.0	5.0	54.0	0.8813559322033898	1.6166390510547144	0.40527588784094815	0.17775994633761458	0.9629629629629629	0.9369369369369369	52.0	2.0
sourmash	55	1.2874782612570828	1308.9294323120207	0.22028782889757828	0.9523809523809523	1.0	0.975609756097561	21.0	0.0	3.0	62.0	0.9230769230769231	0.8597670425969925	0.20832058333559667	0.11014391444878908	0.967741935483871	0.96	60.0	2.0
sourmash	56	1.203124210239425	1267.9134996424555	0.21468699632678503	0.9090909090909091	0.9523809523809523	0.9302325581395349	20.0	1.0	5.0	52.0	0.8771929824561403	0.9322904995987465	0.23594861921943322	0.10734349816339252	0.9615384615384616	0.9345794392523366	50.0	2.0
sourmash	57	1.1375852522157222	1181.996214025317	0.18073090446364876	0.9056603773584906	1.0	0.9504950495049505	26.0	0.0	5.0	50.0	0.8727272727272727	2.000379817603047	0.5113415270890306	0.09036545223182438	0.96	0.9320388349514563	48.0	2.0
