tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)
sourmash	58	1.113565628358946	1520.0042135878537	0.17431029031003004	1.0	1.0	1.0	17.0	0.0	0.0	35.0	0.9714285714285714	1.9330845630507063	0.5437117631292883	0.08715514515501498	0.9714285714285714	0.9855072463768115	34.0	1.0
sourmash	59	1.3494503483922415	1557.2131564741028	0.15957577050826724	1.0	1.0	1.0	14.0	0.0	0.0	28.0	0.9642857142857143	1.6833299543777742	0.5051700606122961	0.07978788525413362	0.9642857142857143	0.9818181818181818	27.0	1.0
sourmash	6	2.0470764818462777	1419.7577557008121	0.3108407847024797	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	30.0	0.9666666666666667	1.7828456078678763	0.524181753602493	0.15542039235123986	0.9666666666666667	0.983050847457627	29.0	1.0
sourmash	60	1.0165759183351852	1513.0587863564615	0.15485398119824884	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	29.0	0.9655172413793104	1.8066365153268495	0.536524441731069	0.07742699059912442	0.9655172413793104	0.9824561403508771	28.0	1.0
sourmash	61	1.388853471394338	1508.12249467465	0.19246083442149434	0.9629629629629629	0.9333333333333333	0.9479166666666665	14.0	1.0	1.0	27.0	0.9285714285714286	1.9371173271958364	0.5877467259307282	0.09623041721074715	0.9629629629629629	0.9629629629629629	26.0	1.0
sourmash	62	1.890245644475749	533.3671170743469	0.2848820882702636	0.9545454545454546	0.9375	0.9459459459459459	15.0	1.0	1.0	22.0	0.9130434782608695	1.8237981690915979	0.5900268911253875	0.14244104413513178	0.9545454545454546	0.9545454545454546	21.0	1.0
sourmash	63	1.6080193857409448	316.42106711502294	0.2227907063688184	1.0	1.0	1.0	14.0	0.0	0.0	18.0	0.9444444444444444	1.7177772991401714	0.5943101590469809	0.11139535318440917	0.9444444444444444	0.9714285714285714	17.0	1.0
sourmash	7	1.2620697956597102	346.0904606017133	0.17097053197980722	0.9523809523809523	1.0	0.975609756097561	14.0	0.0	1.0	21.0	0.9090909090909091	1.0167760730398703	0.33396898654495594	0.08548526598990358	0.9523809523809523	0.9523809523809523	20.0	1.0
sourmash	8	6.079865567067746	724.6233990257354	0.9922094686623012	1.0	1.0	1.0	8.0	0.0	0.0	15.0	1.0	1.3237103451679497	0.4888056892849265	0.4961047343311506	1.0	1.0	15.0	0.0
sourmash	9	6.5325388751214115	726.2424514113543	1.046636364805768	1.0	1.0	1.0	9.0	0.0	0.0	17.0	1.0	1.674949170349672	0.5911835668371177	0.523318182402884	1.0	1.0	17.0	0.0
sourmash	39	1.1544087654755317	764.9460016796672	0.16750377923870277	1.0	0.9444444444444444	0.9714285714285714	17.0	1.0	0.0	28.0	0.9642857142857143	1.7735599151518118	0.5322482187801132	0.0837518896193514	0.9642857142857143	0.9818181818181818	27.0	1.0
sourmash	38	0.8899522022619436	596.3092851689323	0.09191036614448711	1.0	0.9411764705882353	0.9696969696969697	16.0	1.0	0.0	25.0	0.96	1.154384418856125	0.358629683673303	0.04595518307224356	0.96	0.9795918367346939	24.0	1.0
sourmash	51	1.4914028996268491	1168.0024881707168	0.1632829868161692	1.0	0.95	0.9743589743589743	19.0	1.0	0.0	31.0	0.967741935483871	2.112271241352233	0.615107487469198	0.08164149340808463	0.967741935483871	0.9836065573770492	30.0	1.0
sourmash	36	1.3343878991348148	1249.0442466310953	0.1694338456448572	1.0	0.9444444444444444	0.9714285714285714	17.0	1.0	0.0	29.0	0.9655172413793104	1.72333507540698	0.5117860628877097	0.08471692282242857	0.9655172413793104	0.9824561403508771	28.0	1.0
sourmash	37	1.5094738591108736	1454.5561953550402	0.19117886110472468	1.0	0.9473684210526315	0.972972972972973	18.0	1.0	0.0	28.0	0.9642857142857143	1.7343368733486264	0.5204773200602375	0.09558943055236237	0.9642857142857143	0.9818181818181818	27.0	1.0
sourmash	1	2.2692744670583243	516.4877965658609	0.22992304292057217	1.0	1.0	1.0	7.0	0.0	0.0	17.0	1.0	1.61254666712766	0.5691582211804181	0.1149615214602861	1.0	1.0	17.0	0.0
sourmash	10	1.2914149974163387	761.2240214615501	0.09942074734216032	1.0	1.0	1.0	9.0	0.0	0.0	23.0	1.0	0.8006462589069938	0.2553493018228184	0.049710373671080145	1.0	1.0	23.0	0.0
sourmash	11	1.486004555057841	1089.9370723247796	0.10880639224818767	0.9473684210526315	1.0	0.972972972972973	10.0	0.0	1.0	19.0	0.9	0.9323364733303316	0.31664316357959393	0.05440319612409385	0.9473684210526315	0.9473684210526315	18.0	1.0
sourmash	12	2.518177012830789	1072.4498708642577	0.25021357136546135	1.0	1.0	1.0	11.0	0.0	0.0	21.0	0.9523809523809523	1.429247792386645	0.4694489272529	0.12510678568273076	0.9523809523809523	0.975609756097561	20.0	1.0
sourmash	13	0.8507031946935828	648.3168964009936	0.07560013670133726	1.0	1.0	1.0	6.0	0.0	0.0	18.0	0.9444444444444444	0.5685145436623036	0.19669253344632467	0.037800068350668625	0.9444444444444444	0.9714285714285714	17.0	1.0
sourmash	14	1.2576269824676993	1059.9231099011056	0.14998400210835464	1.0	0.9230769230769231	0.9600000000000001	12.0	1.0	0.0	22.0	0.9545454545454546	1.090201886443801	0.3526971573164039	0.07499200105417729	0.9545454545454546	0.9767441860465117	21.0	1.0
sourmash	15	1.9756623605711283	1217.2600202331705	0.2636536250748119	1.0	1.0	1.0	14.0	0.0	0.0	24.0	0.9583333333333334	1.6256988716682346	0.5115391237694192	0.13182681253740594	0.9583333333333334	0.9787234042553191	23.0	1.0
sourmash	16	2.3458867888108452	487.34769123677825	0.03714806218187814	0.9375	1.0	0.967741935483871	5.0	0.0	1.0	15.0	0.9375	0.3369186670102402	0.12441374494206574	0.01857403109093907	1.0	0.967741935483871	15.0	0.0
